episode,title,type,note,source
62,A Failure's True Power,must-watch,Naruto soutient Hinata,
63,Hit it or Quit it: The Final Rounds Get Complicated!,must-watch,Tirage au sort,
64,Zero Motivation: The Guy with Cloud Envy!,optional,Filler,
65,Dancing Leaf: Super Crimson Fang!,optional,Filler,
66,Booming Strike: Tsunade's Choice!,optional,Filler,
67,Assault of the Crazed Ninja!,optional,Filler,
68,An Unrivaled Match: Hokage Battle Royale!,optional,Filler,
69,An Unrivaled Match: Hokage Battle Royale Part 2!,optional,Filler,
70,A Shirker's Call to Action: A Layabout No More!,optional,Filler,
71,An Unrivaled Match: Hokage Battle Royale Part 3!,optional,Filler,
72,A Mistake from the Past: A Face Revealed!,optional,Filler,
73,Forbidden Secret Jutsu: Shiki Fujin!,optional,Filler,
74,Astonishing Truth! Gaara's Identity Emerges!,optional,Filler,
75,Sasuke's Decision: Pushed to the Edge!,optional,Filler,
76,Assassin of the Moonlit Night,optional,Filler,
77,Light vs. Dark: The Two Faces of Gaara,optional,Filler,
78,Naruto's Ninja Handbook,optional,Filler,
79,Beyond the Limit of Darkness and Light,optional,Filler - Dernier avant retour canon,
80,The Third Hokage Sealed!,must-watch,Début arc retour canon,
81,Return of the Morning Mist,must-work,Retour au canon,
82,Eye to Eye: Sharingan vs. Sharingan!,must-watch,Kakashi vs Itachi,
83,Jiraiya: Naruto's Potential Disaster!,must-watch,Jiraiya entraine Naruto,
84,Roar Chidori! Brother vs. Brother!,must-watch,Sasuke vs Itachi,
85,Hate Among the Uchihas: The Last of the Clan!,must-watch,Histoire Uchiha,
86,A New Training Begins: I Will Be Strong!,must-watch,Nouvel entraînement,
87,Keep on Training: Pop Goes the Water Balloon!,must-watch,Rasengan training,
88,Focal Point: The Mark of the Leaf,must-watch,Suite entraînement,
89,An Impossible Choice: The Pain Within Tsunade's Heart,must-watch,Histoire Tsunade,
90,Unforgivable! A Total Lack of Respect!,must-watch,Orochimaru vs Jiraiya,
91,Inheritance! The Necklace of Death!,must-watch,Collier de Tsunade,
92,A Dubious Offer! Tsunade's Choice!,must-watch,Décision de Tsunade,
93,Breakdown! The Deal is Off!,must-watch,Combat début,
94,Attack! Fury of the Rasengan!,must-watch,Rasengan complet,
95,The Fifth Hokage! A Life on the Line!,must-watch,Tsunade devient Hokage,
96,Deadlock! Sannin Showdown!,must-watch,Combat 3 Sannin,
97,Kidnapped! Naruto's Hot Spring Adventure!,optional,Filler,
98,Tsunade's Warning: Ninja No More!,optional,Filler,
99,The Will of Fire Still Burns!,optional,Filler,
100,Sensei and Student: The Bond of the Shinobi,must-watch,Retour canon - départ Sasuke,
